customer_id,gender,age,customer_segment,tenure_months,signup_channel,contract_type,monthly_logins,weekly_active_days,avg_session_time,features_used,usage_growth_rate,last_login_days_ago,monthly_fee,total_revenue,payment_method,payment_failures,discount_applied,price_increase_last_3m,support_tickets,avg_resolution_time,complaint_type,customer satsifaction score ,escalations,email_open_rate,marketing_click_rate,net promoter score ,survey_response,referral_count,churn
CUST_00012,Male,54,Enterprise,14,Web,Monthly,24,2,10.2234398,6,0.04,9,20,280,Card,0,No,Yes,2,49.72450589,Service,4,0,0.3,0.17,77,Satisfied,0,0
CUST_00013,Male,65,Individual,41,Web,Monthly,28,4,15.36983767,5,0.34,0,50,2050,PayPal,1,No,No,1,24.46786775,None,2,0,0.36,0.26,19,Satisfied,1,0
CUST_00014,Male,24,Individual,48,Referral,Monthly,19,6,13.99121239,4,0.22,4,30,1440,Card,1,No,Yes,1,26.91982225,Service,3,0,0.55,0.26,-16,Neutral,0,0
CUST_00015,Female,22,Individual,2,Referral,Yearly,32,7,9.025836761,9,0,5,30,60,Card,2,No,No,2,30.95588452,None,3,0,0.21,0.19,55,Neutral,1,0
CUST_00016,Male,28,Enterprise,14,Mobile,Monthly,14,2,16.18583936,4,0.11,20,20,280,Card,1,No,No,0,42.76238834,Technical,4,0,0.71,0.36,-30,Satisfied,1,0
CUST_00017,Female,32,Individual,4,Web,Monthly,1,7,17.42143654,7,-0.08,12,30,120,Bank Transfer,0,Yes,No,1,36.61299126,None,3,0,0.32,0.13,3,Unsatisfied,0,1
CUST_00018,Female,20,Individual,3,Referral,Yearly,9,0,18.7010314,7,-0.03,0,70,210,Bank Transfer,1,Yes,No,2,41.26894917,Technical,3,0,0.61,0.47,60,Satisfied,2,0
CUST_00019,Female,22,Individual,3,Web,Yearly,21,7,20.33338325,7,0,0,30,90,PayPal,0,Yes,Yes,1,40.22396317,Service,4,0,0.89,0.41,23,Satisfied,2,0
CUST_00020,Male,40,Individual,11,Web,Monthly,22,1,10.63221144,2,-0.11,0,10,110,Card,0,No,No,4,15.01173125,Technical,3,1,0.21,0.2,61,Neutral,2,0
CUST_00021,Female,70,Individual,5,Mobile,Quarterly,21,7,22.01039532,6,0.05,0,30,150,PayPal,1,No,No,0,32.14156916,None,3,0,0.32,0.3,-12,Neutral,1,0
CUST_00022,Male,54,SME,48,Web,Monthly,32,6,14.49370785,2,-0.28,3,10,480,Bank Transfer,2,No,Yes,0,18.32589423,None,5,2,0.81,0.36,25,Satisfied,1,0
CUST_00023,Female,26,SME,55,Web,Quarterly,21,5,20.27080427,3,0.04,2,70,3850,Bank Transfer,0,Yes,No,2,22.11248788,Technical,4,1,0.85,0.41,22,Satisfied,0,0
CUST_00024,Female,32,Individual,29,Referral,Monthly,23,2,10.57903889,3,-0.04,16,30,870,Card,1,No,No,0,7.510576743,Technical,4,0,0.62,0.14,18,Satisfied,0,0
CUST_00025,Female,20,SME,28,Web,Monthly,29,1,27.01461102,3,0.13,11,50,1400,PayPal,1,No,No,1,22.87034321,Billing,2,0,0.57,0.44,-3,Satisfied,0,0
CUST_00026,Female,46,SME,23,Referral,Quarterly,3,2,18.53048572,5,-0.05,1,10,230,Card,1,No,No,3,28.12195844,Billing,3,1,0.83,0.5,44,Neutral,2,0
CUST_00027,Female,23,Enterprise,30,Referral,Quarterly,27,6,15.78815563,6,0.06,8,20,600,Bank Transfer,1,Yes,No,3,13.01891749,None,1,1,0.67,0.28,4,Neutral,1,0
CUST_00028,Female,34,Individual,23,Referral,Monthly,33,2,6.510632971,5,-0.03,28,30,690,PayPal,0,No,No,0,28.8230128,Service,3,0,0.31,0.38,68,Unsatisfied,1,0
CUST_00029,Female,43,Individual,51,Referral,Monthly,27,6,22.60695942,4,-0.14,8,10,510,Card,1,No,No,0,29.16801123,Billing,4,1,0.23,0.04,34,Satisfied,1,0
CUST_00030,Female,38,SME,41,Mobile,Yearly,23,3,7.405863697,4,0.04,6,10,410,Card,0,Yes,No,1,27.2687315,None,4,1,0.68,0.37,38,Neutral,0,0
CUST_00031,Male,25,Individual,22,Mobile,Monthly,28,7,30.52033151,5,0.03,16,70,1540,PayPal,0,No,No,1,24.02049539,None,5,0,0.58,0.48,-65,Neutral,1,0
CUST_00032,Male,38,Individual,43,Referral,Quarterly,0,2,20.12920707,6,0.16,17,10,430,Card,1,No,No,1,8.215345852,Technical,3,1,0.85,0.37,1,Satisfied,2,0
CUST_00033,Female,74,SME,12,Web,Monthly,18,4,5.868476306,6,0.24,4,30,360,PayPal,0,No,No,1,19.8315949,Billing,4,1,0.11,0.17,-25,Satisfied,1,0
CUST_00034,Female,28,Individual,27,Web,Quarterly,7,6,16.4918856,4,0.36,1,70,1890,Card,2,Yes,Yes,1,24.5462221,Technical,3,1,0.86,0.47,-36,Unsatisfied,1,0
CUST_00035,Female,55,Individual,58,Mobile,Monthly,23,4,28.76962615,6,0.07,17,10,580,Card,0,No,No,1,24.77443212,None,2,0,0.6,0.18,59,Satisfied,0,0
CUST_00036,Male,25,Individual,59,Mobile,Monthly,9,2,14.90516156,5,0.08,14,70,4130,Card,1,No,No,0,23.51186037,Billing,3,0,0.52,0.09,74,Neutral,1,0
CUST_00037,Female,59,SME,40,Mobile,Quarterly,28,5,12.49229512,5,0.06,11,20,800,Card,2,Yes,Yes,1,26.81729425,Billing,2,0,0.44,0.17,28,Neutral,0,1
CUST_00038,Male,41,Individual,46,Mobile,Monthly,15,7,17.17599674,4,-0.1,6,70,3220,Card,1,No,Yes,2,16.19442676,Technical,5,0,0.28,0.31,-12,Satisfied,0,0
CUST_00039,Male,52,SME,49,Mobile,Quarterly,7,5,9.717458061,4,-0.04,1,30,1470,Card,0,No,No,1,26.01091189,Service,5,0,0.59,0.44,-51,Satisfied,1,0
CUST_00040,Male,72,SME,52,Mobile,Monthly,10,5,24.33922003,3,0.09,15,10,520,Card,1,No,No,1,22.91113436,Billing,2,0,0.29,0.18,30,Satisfied,1,0
CUST_00041,Male,31,Individual,15,Web,Monthly,6,7,9.006143751,6,0.2,2,30,450,Card,0,No,No,0,26.21135509,Technical,3,1,0.14,0.22,15,Neutral,1,0
CUST_00042,Male,72,Individual,47,Web,Quarterly,19,7,18.02354676,11,0.2,2,30,1410,Card,1,No,No,0,36.25818443,Billing,3,0,0.6,0.35,55,Unsatisfied,1,0
CUST_00043,Female,31,Individual,23,Mobile,Monthly,26,0,23.75485164,5,-0.01,1,30,690,Card,0,No,Yes,2,18.49050264,Service,2,0,0.28,0.02,-5,Satisfied,3,0
CUST_00044,Female,27,SME,44,Web,Monthly,13,4,15.39357616,3,-0.1,21,50,2200,Card,0,Yes,No,2,37.28779352,Service,3,0,0.15,0.43,-17,Satisfied,0,0
CUST_00045,Female,29,Individual,41,Referral,Monthly,5,1,24.03688813,7,0.24,6,100,4100,Card,0,No,No,0,42.10783621,Billing,4,0,0.56,0.08,9,Unsatisfied,5,0
CUST_00046,Female,55,Enterprise,44,Referral,Monthly,19,0,13.67966527,7,-0.07,1,20,880,PayPal,1,No,No,1,21.73458585,None,4,1,0.76,0.1,17,Unsatisfied,0,0
CUST_00047,Female,61,Individual,19,Mobile,Monthly,19,1,7.115452536,3,-0.17,14,30,570,Card,1,Yes,No,2,25.33143316,None,4,0,0.58,0.24,87,Neutral,2,0
CUST_00048,Male,72,Individual,44,Referral,Monthly,15,6,20.19586239,4,0.05,8,10,440,Card,1,No,No,0,30.04901318,Service,3,1,0.46,0.06,17,Unsatisfied,3,0
CUST_00049,Female,63,Individual,11,Mobile,Monthly,12,2,17.35779492,6,-0.02,14,30,330,Card,2,No,No,1,26.74524649,None,2,1,0.72,0.37,-44,Unsatisfied,1,1
CUST_00050,Female,51,SME,38,Web,Yearly,32,2,8.291139437,7,0,10,100,3800,Bank Transfer,1,Yes,Yes,2,28.0956146,Technical,3,0,0.86,0.2,47,Unsatisfied,2,0
CUST_00051,Male,58,Individual,40,Mobile,Monthly,14,7,14.39385549,2,-0.01,14,20,800,PayPal,1,No,Yes,0,6.585886462,Billing,5,0,0.47,0.26,-11,Satisfied,2,0
CUST_00052,Female,27,Individual,43,Web,Yearly,5,2,8.177258018,10,0.01,1,50,2150,Card,0,Yes,No,2,23.97144828,Technical,3,0,0.58,0.43,52,Satisfied,0,0
CUST_00053,Male,34,SME,3,Web,Yearly,19,4,14.95660568,4,0.01,1,20,60,PayPal,0,No,No,1,14.66505861,None,5,2,0.37,0.02,36,Neutral,0,0
CUST_00054,Female,34,Individual,16,Web,Monthly,25,5,30.97642132,4,0.1,6,100,1600,PayPal,0,No,No,0,19.74267948,Technical,3,3,0.47,0.09,-22,Unsatisfied,1,0
CUST_00055,Male,20,Individual,32,Mobile,Monthly,24,0,21.71266819,2,0.04,15,20,640,Bank Transfer,3,No,No,1,35.65475989,Technical,3,1,0.59,0.15,-3,Neutral,3,0
CUST_00056,Female,48,SME,38,Mobile,Monthly,4,1,19.38887853,4,0.01,10,50,1900,Card,1,Yes,No,1,28.65533319,Service,5,1,0.71,0.1,-61,Satisfied,0,0
CUST_00057,Female,68,SME,9,Web,Quarterly,32,6,16.1811863,4,0.09,15,50,450,PayPal,0,No,No,2,30.97405111,Service,4,0,0.47,0.12,60,Unsatisfied,0,0
CUST_00058,Male,18,Individual,41,Web,Quarterly,22,3,22.34384181,5,0.14,4,10,410,PayPal,0,Yes,No,2,23.50336971,Service,4,0,0.1,0.18,28,Satisfied,0,0
CUST_00059,Male,29,Individual,38,Mobile,Quarterly,25,5,15.54276983,5,-0.17,0,50,1900,PayPal,2,No,Yes,1,21.7213958,None,2,0,0.61,0.04,29,Unsatisfied,0,0
CUST_00060,Male,56,SME,5,Web,Quarterly,46,0,2.451884007,5,-0.08,1,50,250,Card,0,No,No,1,35.93881946,Service,3,1,0.62,0.45,59,Satisfied,0,0
CUST_00061,Male,21,Individual,1,Web,Monthly,27,1,5.626137005,4,-0.22,3,10,10,Bank Transfer,1,Yes,No,2,22.50660711,Technical,3,0,0.59,0.4,-33,Satisfied,0,0
CUST_00062,Male,59,SME,35,Mobile,Yearly,25,6,11.15873804,3,0.01,25,20,700,PayPal,0,Yes,No,2,33.26707233,Service,4,0,0.88,0.37,39,Neutral,1,1
CUST_00063,Male,30,Individual,35,Web,Monthly,17,3,12.05157033,4,-0.06,13,20,700,Card,0,Yes,No,1,36.28579912,Technical,2,0,0.67,0.07,94,Satisfied,0,0
CUST_00064,Male,51,Individual,12,Web,Yearly,19,0,15.17954088,5,-0.12,9,10,120,Card,1,No,No,3,33.16694971,Technical,4,0,0.32,0.01,33,Satisfied,1,0
CUST_00065,Male,59,Individual,36,Web,Monthly,7,0,23.30825509,6,0.02,23,30,1080,PayPal,0,Yes,Yes,3,31.22406196,None,4,1,0.48,0.05,67,Satisfied,0,0
CUST_00066,Female,38,Individual,21,Mobile,Monthly,20,5,17.7271448,4,-0.13,0,50,1050,Bank Transfer,1,No,Yes,2,17.06204683,Service,3,0,0.45,0.23,0,Unsatisfied,1,0
CUST_00067,Female,39,SME,48,Referral,Yearly,36,2,16.24636953,7,0.09,7,20,960,Card,1,Yes,No,1,12.20311733,Billing,2,0,0.65,0.27,-39,Satisfied,0,0
CUST_00068,Male,74,Individual,43,Referral,Quarterly,24,5,7.281570772,6,0.01,12,20,860,PayPal,0,No,No,1,28.53677351,Service,5,0,0.59,0.32,-2,Satisfied,2,0
CUST_00069,Female,21,Individual,8,Mobile,Quarterly,42,0,13.92226926,2,-0.02,0,50,400,PayPal,0,No,No,2,35.07518016,None,5,0,0.45,0.03,79,Satisfied,1,0
CUST_00070,Female,35,Enterprise,27,Web,Monthly,25,5,10.65770575,2,0.04,12,20,540,PayPal,0,No,No,1,24.272644,None,4,0,0.81,0.27,100,Neutral,2,0
CUST_00071,Female,22,Individual,9,Web,Yearly,22,5,7.841616588,4,0.1,10,10,90,Card,1,No,Yes,1,18.63664451,Technical,2,0,0.13,0.09,-33,Neutral,2,0
CUST_00072,Female,36,SME,28,Web,Yearly,18,6,1,5,0.01,9,30,840,PayPal,0,Yes,No,1,25.85601605,None,4,0,0.43,0.38,1,Satisfied,1,0
CUST_00073,Male,19,Enterprise,30,Mobile,Monthly,39,5,6.715317381,5,-0.03,32,50,1500,Card,1,Yes,No,1,31.37173834,Billing,3,0,0.79,0.04,53,Satisfied,3,0
CUST_00074,Female,29,Enterprise,14,Mobile,Monthly,15,7,27.21491301,3,-0.01,2,30,420,Card,0,Yes,No,3,47.06624529,Billing,5,0,0.12,0.5,44,Neutral,2,0
CUST_00075,Male,34,SME,23,Mobile,Quarterly,12,6,23.15807844,8,0.13,35,50,1150,Bank Transfer,0,Yes,No,1,33.49090483,Billing,4,0,0.83,0.25,26,Satisfied,1,0
CUST_00076,Female,27,Individual,29,Web,Yearly,11,1,9.025624678,4,-0.21,25,50,1450,Card,1,No,No,0,19.29181374,Billing,2,1,0.47,0.42,1,Unsatisfied,0,0
CUST_00077,Female,51,Enterprise,26,Web,Quarterly,42,2,11.61705637,9,0.01,16,70,1820,PayPal,0,No,No,1,25.00014652,None,3,0,0.64,0.44,15,Neutral,3,0
CUST_00078,Female,23,SME,22,Web,Yearly,21,0,32.60016552,1,0.22,25,50,1100,Bank Transfer,1,Yes,No,1,38.02965576,Billing,5,1,0.73,0.24,39,Neutral,1,0
CUST_00079,Male,25,SME,15,Mobile,Monthly,20,6,31.6603928,2,0.15,33,20,300,Bank Transfer,0,Yes,No,1,20.81343048,Technical,5,1,0.58,0.03,-64,Unsatisfied,1,0
CUST_00080,Female,68,Individual,51,Web,Yearly,25,2,16.50869387,1,0.06,8,20,1020,Bank Transfer,1,No,Yes,2,19.66077863,Technical,5,0,0.15,0.17,-42,Satisfied,1,0
CUST_00081,Male,28,Enterprise,9,Mobile,Monthly,17,7,20.23677087,6,0.1,5,10,90,Bank Transfer,1,Yes,Yes,3,26.19862826,Billing,4,2,0.54,0.43,1,Neutral,1,0
CUST_00082,Female,74,SME,26,Web,Monthly,12,3,17.08881608,6,0.36,3,20,520,Card,0,No,No,2,16.60730412,Technical,3,1,0.19,0.45,10,Satisfied,1,0
CUST_00083,Male,29,SME,17,Mobile,Monthly,11,1,12.80170591,6,0.05,2,20,340,PayPal,0,No,No,1,23.12357038,Technical,3,0,0.49,0.48,5,Satisfied,3,0
CUST_00084,Female,26,Individual,9,Web,Quarterly,11,3,16.93508401,7,-0.05,7,50,450,Card,0,No,No,1,8.736811836,Technical,4,1,0.19,0.13,39,Neutral,2,0
CUST_00085,Male,19,Individual,3,Web,Monthly,0,1,19.41229307,7,0.21,15,20,60,Card,1,Yes,No,0,16.22582314,Technical,3,1,0.13,0.03,88,Satisfied,0,0
CUST_00086,Male,25,Enterprise,57,Web,Yearly,20,4,22.3686473,6,0.05,4,50,2850,Card,0,No,No,1,25.44715627,Technical,4,1,0.16,0.49,15,Satisfied,1,0
CUST_00087,Female,28,Individual,16,Web,Yearly,4,3,17.2990363,3,-0.25,17,100,1600,Card,0,No,No,2,25.60697899,None,4,0,0.29,0.37,22,Satisfied,1,0
CUST_00088,Male,70,Individual,13,Web,Quarterly,25,6,17.19641834,7,0.05,6,50,650,Bank Transfer,0,No,Yes,0,22.7184916,Billing,4,1,0.39,0.17,80,Satisfied,2,0
CUST_00089,Female,53,SME,26,Referral,Monthly,28,4,6.145405881,5,0.1,2,50,1300,Card,0,No,No,3,30.79673999,None,3,1,0.78,0.43,-27,Satisfied,0,0
CUST_00090,Female,27,Individual,17,Web,Monthly,13,5,9.22236427,6,-0.12,9,30,510,PayPal,0,No,No,0,26.81470177,Technical,5,0,0.13,0.05,61,Satisfied,0,0
CUST_00091,Female,38,Individual,32,Web,Monthly,23,2,2.3202354,5,0.32,27,20,640,Card,0,No,No,2,23.62808913,Service,2,0,0.73,0.13,8,Satisfied,0,0
CUST_00092,Female,37,Individual,24,Mobile,Quarterly,27,3,18.31386577,8,-0.07,1,10,240,PayPal,0,Yes,No,3,27.07118049,Technical,3,0,0.16,0.13,-7,Satisfied,0,0
CUST_00093,Female,65,Individual,54,Mobile,Monthly,35,0,11.00284994,9,-0.06,7,30,1620,Card,0,No,No,1,10.19143087,Billing,3,0,0.82,0.06,75,Unsatisfied,1,0
CUST_00094,Female,25,Individual,57,Web,Quarterly,16,5,13.60544438,5,0.16,0,20,1140,Card,0,No,No,0,2.53193249,Service,3,0,0.68,0.49,35,Unsatisfied,2,0
CUST_00095,Female,53,Individual,36,Mobile,Quarterly,5,1,15.6024399,6,0.11,14,30,1080,Card,0,No,No,3,30.23055931,Service,2,0,0.61,0.29,16,Neutral,1,0
CUST_00096,Female,46,Individual,53,Mobile,Quarterly,10,7,17.11094696,4,0.05,20,30,1590,Card,0,No,No,1,25.89525776,Billing,4,0,0.12,0.12,-13,Unsatisfied,2,0
CUST_00097,Female,59,SME,22,Web,Monthly,3,7,1.671267969,1,0.09,2,30,660,PayPal,0,No,No,1,19.23295769,Technical,4,0,0.63,0.48,-33,Satisfied,0,1
CUST_00098,Female,29,Enterprise,9,Mobile,Quarterly,24,0,17.70185946,4,-0.03,1,20,180,PayPal,0,Yes,No,1,8.936036829,None,4,0,0.29,0.12,-69,Unsatisfied,0,0
CUST_00099,Female,31,Individual,22,Web,Monthly,0,6,12.23744237,4,-0.05,0,20,440,PayPal,0,No,Yes,1,22.64863972,Billing,5,0,0.77,0.46,24,Neutral,2,0
CUST_00100,Male,65,Individual,41,Web,Monthly,9,0,21.16452614,3,-0.15,13,10,410,Bank Transfer,0,No,Yes,1,27.74311949,Technical,3,0,0.51,0.04,-4,Satisfied,0,0
CUST_00101,Male,71,Individual,50,Referral,Yearly,20,5,12.7601992,4,0.31,0,20,1000,Card,1,Yes,No,0,23.78028915,Billing,1,0,0.14,0.19,-31,Satisfied,0,1
CUST_00102,Female,67,SME,46,Web,Monthly,9,2,10.72193554,2,-0.18,35,50,2300,Card,2,No,No,2,8.327003405,Technical,3,0,0.27,0.12,35,Satisfied,0,0
CUST_00103,Female,38,Enterprise,20,Web,Yearly,11,2,22.98165942,4,0.01,2,20,400,Bank Transfer,0,No,Yes,1,32.52199165,Billing,4,0,0.75,0.08,-3,Neutral,0,0
CUST_00104,Female,39,Individual,3,Referral,Monthly,28,0,8.245176309,6,-0.18,9,20,60,Card,0,Yes,No,1,18.69521804,None,3,0,0.13,0.24,13,Satisfied,2,0
CUST_00105,Female,38,Individual,36,Mobile,Monthly,8,5,11.40770454,5,0,10,30,1080,Bank Transfer,3,No,No,3,3.033809448,Billing,3,0,0.15,0.18,-43,Unsatisfied,0,0
CUST_00106,Female,61,SME,33,Mobile,Monthly,15,0,8.5179432,6,0.09,1,50,1650,Card,0,No,Yes,2,27.09013567,Technical,3,0,0.73,0.07,12,Neutral,0,0
CUST_00107,Female,67,SME,18,Mobile,Yearly,29,0,11.7249196,8,0.02,1,20,360,PayPal,1,No,No,3,27.68682333,Technical,3,0,0.88,0.33,-30,Satisfied,0,0
CUST_00108,Female,47,Individual,36,Mobile,Yearly,16,1,26.77607403,5,0.3,0,10,360,PayPal,0,Yes,No,0,13.43004065,Technical,3,0,0.66,0.42,-44,Unsatisfied,2,0
CUST_00109,Female,56,SME,10,Mobile,Monthly,44,2,6.519825501,3,0.08,13,10,100,Card,2,No,No,0,14.21439307,None,3,0,0.1,0.18,15,Satisfied,1,1
CUST_00110,Male,37,SME,36,Web,Monthly,30,3,13.22112534,7,0.02,1,50,1800,Card,0,No,No,4,32.66325218,Technical,3,0,0.22,0.31,-2,Neutral,0,0
CUST_00111,Female,41,Enterprise,21,Web,Quarterly,31,2,20.51096033,2,0.12,3,30,630,PayPal,0,Yes,No,0,25.74917382,None,4,0,0.18,0.03,26,Unsatisfied,0,0
CUST_00112,Male,40,Individual,25,Web,Yearly,6,0,13.43504271,3,-0.05,7,20,500,Card,1,No,No,0,30.73382492,None,4,0,0.26,0.23,37,Satisfied,0,0
CUST_00113,Female,24,Enterprise,49,Web,Quarterly,19,6,17.7406103,3,-0.01,14,20,980,PayPal,1,Yes,No,0,21.91149195,Technical,4,0,0.34,0.12,48,Satisfied,0,0
CUST_00114,Female,26,Individual,40,Web,Yearly,17,3,11.26342834,5,-0.17,3,10,400,PayPal,0,No,No,0,28.12920089,Technical,5,1,0.35,0.07,-65,Satisfied,1,0
CUST_00115,Male,18,SME,51,Mobile,Monthly,15,5,14.2523637,5,0.16,13,50,2550,Card,0,No,Yes,1,34.04589302,None,4,0,0.86,0.46,10,Satisfied,0,0
CUST_00116,Female,43,Individual,9,Web,Quarterly,14,6,13.20227815,6,0.08,4,50,450,Bank Transfer,1,No,No,1,25.80179324,None,4,1,0.23,0.3,-52,Neutral,2,0
CUST_00117,Male,55,Individual,48,Web,Quarterly,18,7,13.69716236,6,0.14,10,70,3360,PayPal,0,No,No,0,21.93274877,None,3,1,0.63,0.14,8,Unsatisfied,0,0
CUST_00118,Female,55,SME,27,Mobile,Monthly,0,5,23.21580956,3,0.23,5,20,540,Card,0,No,No,1,21.37402182,Technical,3,0,0.48,0.48,5,Satisfied,1,0
CUST_00119,Female,71,Individual,56,Mobile,Quarterly,10,3,10.75573242,7,0.03,21,10,560,Card,0,No,No,0,34.81403626,Billing,3,0,0.32,0.04,31,Satisfied,0,0
CUST_00120,Male,61,Individual,56,Referral,Yearly,36,7,17.16993281,5,-0.03,3,20,1120,Card,1,No,No,1,23.72495618,Technical,3,0,0.82,0.24,-34,Neutral,0,0
CUST_00121,Female,39,Individual,57,Mobile,Yearly,14,3,21.7197394,2,0.07,12,20,1140,Card,0,No,No,3,23.7401835,Technical,3,1,0.4,0.44,6,Satisfied,1,0
CUST_00122,Male,61,Individual,15,Referral,Monthly,13,2,18.86361572,1,0.01,9,30,450,Card,1,No,No,0,26.22409817,Technical,4,0,0.25,0.37,36,Satisfied,0,0
CUST_00123,Female,27,Individual,52,Mobile,Monthly,19,0,13.10762853,2,-0.08,16,10,520,Card,0,No,No,4,26.86868915,None,5,0,0.83,0.11,-17,Neutral,1,0
CUST_00124,Male,72,Enterprise,32,Mobile,Monthly,20,7,24.44930835,2,-0.03,22,20,640,Card,1,No,Yes,3,12.36494303,Technical,4,1,0.18,0.49,85,Satisfied,0,0
CUST_00125,Male,23,Individual,48,Referral,Monthly,0,5,16.13033846,4,0.09,25,70,3360,Card,2,No,No,3,22.59056698,Technical,3,0,0.33,0.38,-15,Satisfied,0,0
CUST_00126,Female,34,Individual,53,Referral,Yearly,21,5,21.09291746,5,-0.1,10,50,2650,Bank Transfer,1,No,No,2,29.44683656,Technical,5,0,0.62,0.21,31,Unsatisfied,0,0
CUST_00127,Female,68,Individual,44,Mobile,Monthly,25,5,11.30261649,6,-0.24,3,10,440,Card,0,Yes,No,0,32.51439821,None,2,0,0.79,0.1,50,Satisfied,1,0
CUST_00128,Male,67,Individual,55,Mobile,Quarterly,25,6,19.1016644,4,-0.2,0,10,550,Card,2,No,No,3,21.7451392,Technical,3,0,0.52,0.21,-78,Satisfied,0,1
CUST_00129,Female,55,Individual,50,Web,Monthly,10,0,19.70850859,6,0.09,2,30,1500,PayPal,0,No,No,2,38.7440991,Billing,3,0,0.59,0.19,42,Neutral,2,0
CUST_00130,Female,41,Individual,39,Referral,Quarterly,35,6,9.636250772,6,0,1,70,2730,PayPal,1,No,No,2,29.94890232,Billing,3,1,0.7,0.09,-17,Satisfied,0,0
CUST_00131,Female,68,Individual,16,Mobile,Monthly,34,7,24.503251,5,0.04,2,30,480,Card,0,Yes,Yes,1,32.43826789,None,3,0,0.27,0.42,15,Neutral,5,0
CUST_00132,Male,27,Individual,28,Referral,Monthly,33,4,22.9037564,3,0,27,20,560,Card,0,No,Yes,2,28.01296659,None,3,0,0.59,0.4,3,Neutral,2,0
CUST_00133,Male,73,SME,51,Web,Monthly,27,1,11.22644494,2,0.08,6,100,5100,Bank Transfer,0,Yes,No,1,34.42425191,Service,4,0,0.6,0.33,26,Unsatisfied,1,0
CUST_00134,Male,25,SME,6,Web,Quarterly,16,2,5.096706241,3,0.16,5,10,60,Card,1,No,No,2,29.35846553,Technical,3,0,0.79,0.16,40,Satisfied,1,0
CUST_00135,Male,38,Individual,6,Web,Quarterly,20,5,13.75915223,6,0.13,2,10,60,Card,0,No,No,0,13.37256908,Technical,3,0,0.62,0.27,17,Neutral,1,0
CUST_00136,Male,73,Individual,38,Referral,Monthly,34,6,14.30578369,7,-0.19,6,10,380,PayPal,0,No,No,2,22.88880504,Technical,5,1,0.75,0.24,5,Satisfied,2,1
CUST_00137,Male,23,SME,58,Referral,Monthly,0,7,10.78797783,9,-0.11,44,10,580,Card,0,No,Yes,1,23.90736167,Billing,2,0,0.47,0.38,75,Satisfied,0,1
CUST_00138,Male,38,Individual,47,Web,Quarterly,12,4,11.71206639,2,0.08,2,30,1410,Card,0,Yes,No,3,34.84296543,Technical,3,1,0.77,0.07,87,Neutral,2,0
CUST_00139,Male,74,Enterprise,2,Mobile,Yearly,24,4,20.81287172,5,-0.09,3,20,40,Card,1,No,No,0,22.37280371,Service,5,1,0.37,0.12,9,Satisfied,2,0
CUST_00140,Male,56,Individual,41,Web,Monthly,17,5,26.20393457,3,0.18,14,100,4100,Card,0,No,No,1,27.8562613,Technical,3,0,0.65,0.21,-9,Satisfied,0,0
