Transaction_ID,date,time ,time frame ,FastagID,TollBoothID,Lane_Type,Vehicle_Dimensions,Transaction_Amount,Amount_paid,Geographical_Location,Vehicle_Speed,Vehicle_Plate_Number,Fraud_indicator,Numberic fraud,,,
24,1/29/2023,03:05,Midnight,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,KA77UV0123,Not Fraud,0,,,
25,1/30/2023,07:35,Morning,FTG-125-VTN-543,C-103,Express,Large,350,120,"13.059816123454882, 77.77068662374292",63,KA74WX3156,Fraud,1,,,
26,1/31/2023,11:10,Morning,FTG-126-PTM-210,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,KA77YZ5789,Not Fraud,0,,,
27,02-01-2023 00:00,16:50,Afternoon,FTG-127-HJT-987,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",52,KA80AB0122,Fraud,1,,,
28,02-02-2023 00:00,21:25,Evening,FTG-128-WSX-652,B-102,Regular,Large,180,120,"13.059816123454882, 77.77068662374292",95,KA33CD4567,Fraud,1,,,
29,02-03-2023 00:00,03:05,Midnight,FTG-129-QQZ-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",73,KA76EF8901,Not Fraud,0,,,
30,02-04-2023 00:00,08:40,Morning,FTG-130-LOO-098,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",82,KA59GH2345,Not Fraud,0,,,
31,02-05-2023 00:00,13:20,Afternoon,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,KA92IJ5789,Not Fraud,0,,,
32,02-06-2023 00:00,18:55,Evening,FTG-132-IOC-432,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,KA95KL0223,Not Fraud,0,,,
33,02-07-2023 00:00,23:30,Evening,FTG-033-JIP-109,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",66,KA98MN4567,Fraud,1,,,
34,02-08-2023 00:00,05:10,Midnight,FTG-134-RPV-876,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",89,KA03AB1134,Not Fraud,0,,,
35,02-09-2023 00:00,09:40,Morning,FTG-135-EPC-543,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",51,KA06CD5673,Fraud,1,,,
36,02-10-2023 00:00,14:20,Afternoon,FTG-136-OPM-210,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",76,KA09EF9016,Not Fraud,0,,,
37,02-11-2023 00:00,17:55,Afternoon,FTG-137-NJI-9879,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",61,KA12GH3453,Fraud,1,,,
38,02-12-2023 00:00,23:35,Evening,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,KA15IJ6789,Not Fraud,0,,,
39,2/13/2023,04:05,Midnight,FTG-029-UUY-321,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",74,KA18KL0123,Not Fraud,0,,,
40,2/14/2023,08:45,Morning,FTG-140-POU-09P,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",93,KA21MN4567,Fraud,1,,,
41,2/15/2023,13:20,Afternoon,FTG-141-ZXC-769,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",49,KA24OP8901,Fraud,1,,,
42,2/16/2023,16:55,Afternoon,FTG-142-VBN-439,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",83,KA27QR2345,Not Fraud,0,,,
43,2/17/2023,22:35,Evening,FTG-143-QWE-107,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,KA30ST6789,Fraud,1,,,
44,2/18/2023,04:15,Midnight,FTG-034-MKH-875,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",91,KA33UV0123,Fraud,1,,,
45,2/19/2023,08:45,Morning,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",71,KA36WX3456,Not Fraud,0,,,
46,2/20/2023,13:25,Afternoon,FTG-036-POI-217,C-103,Regular,Large,350,140,"13.059816123454882, 77.77068662374292",86,KA39YZ6789,Fraud,1,,,
47,2/21/2023,18:00,Afternoon,FTG-347-XCV-985,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",56,KA42AB0123,Fraud,1,,,
48,2/22/2023,22:35,Evening,FTG-048-JKL-653,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA45CD4567,Not Fraud,0,,,
49,2/23/2023,04:15,Midnight,FTG-049-RFD-322,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",64,KA48EF8901,Not Fraud,0,,,
50,2/24/2023,08:50,Morning,FTG-040-HRT-098,C-103,Regular,Large,350,120,"13.059816123454882, 77.77068662374292",97,KA51GH2345,Fraud,1,,,
51,2/25/2023,13:30,Afternoon,FTG-041-YUI-764,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",69,KA54IJ6789,Not Fraud,0,,,
52,2/26/2023,18:05,Evening,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",94,KA57KL0123,Not Fraud,0,,,
53,2/27/2023,23:40,Evening,FTG-043-NBH-106,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",54,KA60MN4567,Fraud,1,,,
54,2/28/2023,05:20,Midnight,FTG-044-KJH-875,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",81,KA63OP8901,Not Fraud,0,,,
55,03-01-2023 00:00,09:50,Morning,FTG-053-EDC-545,A-101,Express,Medium,160,90,"13.059816123454882, 77.77068662374292",65,KA66QR2345,Fraud,1,,,
56,03-02-2023 00:00,14:30,Afternoon,FTG-046-LMK-212,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,KA69ST6789,Not Fraud,0,,,
57,03-03-2023 00:00,18:05,Evening,FTG-057-PRN-887,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",50,KA72UV0123,Not Fraud,0,,,
58,03-04-2023 00:00,23:45,Evening,FTG-558-VFR-652,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",75,KA75WX3456,Fraud,1,,,
59,03-05-2023 00:00,03:15,Midnight,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",58,KA78YZ6789,Not Fraud,0,,,
60,03-06-2023 00:00,07:55,Morning,FTG-060-QAZ-092,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",89,KA81AB0123,Fraud,1,,,
61,03-07-2023 00:00,12:30,Afternoon,FTG-061-POU-764,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",44,KA84CD4567,Fraud,1,,,
62,03-08-2023 00:00,16:05,Afternoon,FTG-052-NJH-434,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",78,KA87EF8901,Not Fraud,0,,,
63,03-09-2023 00:00,21:45,Evening,FTG-053-ZXC-104,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",67,KA90GH2345,Not Fraud,0,,,
64,03-10-2023 00:00,03:25,Midnight,FTG-054-OKM-874,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",95,KA93IJ6789,Not Fraud,0,,,
65,03-11-2023 00:00,08:55,Morning,FTG-055-LKJ-544,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",55,KA96KL0123,Fraud,1,,,
66,03-12-2023 00:00,13:35,Afternoon,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",80,KA99MN4567,Not Fraud,0,,,
67,3/13/2023,18:10,Evening,FTG-077-MKF-984,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",62,KA02XY8901,Not Fraud,0,,,
68,3/14/2023,23:50,Evening,FTG-068-DCV-653,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",87,KA05LM2345,Fraud,1,,,
69,3/15/2023,05:30,Midnight,FTG-059-NBH-323,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",47,KA08UV6789,Not Fraud,0,,,
70,3/16/2023,10:05,Morning,FTG-060-POI-093,B-102,Regular,Large,180,100,"13.059816123454882, 77.77068662374292",73,KA01OP0123,Fraud,1,,,
71,3/17/2023,14:45,Afternoon,FTG-061-RSX-765,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",68,KA04QR4567,Not Fraud,0,,,
72,3/18/2023,19:20,Evening,FTG-062-QAZ-431,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",91,KA10YZ8901,Not Fraud,0,,,
73,3/19/2023,00:55,Midnight,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",53,KA18AB2345,Not Fraud,0,,,
74,3/20/2023,06:35,Morning,FTG-064-VFR-873,C-103,Regular,Large,350,100,"13.059816123454882, 77.77068662374292",82,KA03CD6789,Fraud,1,,,
75,3/21/2023,11:05,Morning,FTG-065-YUI-545,B-102,Express,Medium,140,110,"13.059816123454882, 77.77068662374292",56,KA29EF0123,Fraud,1,,,
76,3/22/2023,15:40,Afternoon,FTG-066-CDE-213,A-101,Regular,Medium,160,90,"13.059816123454882, 77.77068662374292",84,KA26GH4567,Fraud,1,,,
77,3/23/2023,21:20,Evening,FTG-067-LMK-983,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",69,KA12IJ8801,Not Fraud,0,,,
78,3/24/2023,02:00,Midnight,FTG-068-NJH-655,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",94,KA34KL2345,Not Fraud,0,,,
79,3/25/2023,06:30,Morning,FTG-069-RFD-326,A-101,Express,Small,120,100,"13.059816123454882, 77.77068662374292",49,KA38MN6788,Fraud,1,,,
80,3/26/2023,11:05,Morning,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,KA41OP0123,Not Fraud,0,,,
81,3/27/2023,16:45,Afternoon,FTG-083-BVC-766,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",63,KA44QR4567,Not Fraud,0,,,
82,3/28/2023,21:20,Evening,FTG-082-XCV-437,B-102,Regular,Medium,140,120,"13.059816123454882, 77.77068662374292",88,KA47ST8901,Fraud,1,,,
83,3/29/2023,02:50,Midnight,FTG-073-LKJ-101,A-101,Express,Medium,160,60,"13.059816123454882, 77.77068662374292",74,KA50UV2344,Fraud,1,,,
84,3/30/2023,07:30,Morning,FTG-074-POU-871,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",96,KA53WX6789,Fraud,1,,,
85,3/31/2023,12:05,Afternoon,FTG-055-ZWC-543,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",61,KA56YZ0123,Fraud,1,,,
86,04-01-2023 00:00,16:40,Afternoon,FTG-066-PLM-216,A-101,Regular,Small,120,60,"13.059816123454882, 77.77068662374292",85,KA59AB4567,Fraud,1,,,
87,04-02-2023 00:00,22:20,Evening,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,KA62CD8901,Not Fraud,0,,,
88,04-03-2023 00:00,03:00,Midnight,FTG-058-WSX-656,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA65EF2345,Not Fraud,0,,,
89,04-04-2023 00:00,07:30,Morning,FTG-099-QAZ-322,B-102,Express,Medium,140,140,"13.059816123454882, 77.77068662374292",66,KA68GH6789,Not Fraud,0,,,
90,04-05-2023 00:00,12:05,Afternoon,FTG-050-RFD-091,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",90,KA71IJ0123,Not Fraud,0,,,
91,04-06-2023 00:00,15:40,Afternoon,FTG-081-YUI-764,B-102,Express,Large,180,140,"13.059816123454882, 77.77068662374292",48,KA74KL4567,Fraud,1,,,
92,04-07-2023 00:00,21:20,Evening,FTG-082-BVC-431,C-103,Regular,Large,350,90,"13.059816123454882, 77.77068662374292",77,KA77MN8901,Fraud,1,,,
93,04-08-2023 00:00,02:55,Midnight,FTG-063-NBH-102,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",60,KA80OP2345,Fraud,1,,,
94,04-09-2023 00:00,06:30,Morning,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",83,KA83QR6789,Not Fraud,0,,,
95,04-10-2023 00:00,11:10,Morning,FTG-055-EDC-541,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",71,KA86ST0123,Not Fraud,0,,,
96,04-11-2023 00:00,15:50,Afternoon,FTG-095-LMK-211,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",97,KA89UV4567,Fraud,1,,,
97,04-12-2023 00:00,20:25,Evening,FTG-077-PLN-983,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",46,KA92WX8901,Not Fraud,0,,,
98,4/13/2023,01:00,Midnight,FTG-088-VFR-652,B-102,Regular,Large,180,0,"13.059816123454882, 77.77068662374292",81,KA95YZ2345,Fraud,1,,,
99,4/14/2023,06:40,Morning,FTG-079-RSX-321,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",64,KA98AB6789,Fraud,1,,,
100,4/15/2023,11:15,Morning,FTG-170-QAZ-091,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",93,KA01CD0123,Not Fraud,0,,,
101,4/16/2023,15:50,Afternoon,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",57,KA04EF4567,Not Fraud,0,,,
102,4/17/2023,21:30,Evening,FTG-121-ABC-614,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",86,KA07GH8901,Not Fraud,0,,,
103,4/18/2023,03:10,Midnight,FTG-131-PQR-329,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",55,KA10IJ2345,Fraud,1,,,
104,4/19/2023,07:40,Morning,FTG-114-DEF-092,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",82,KA13KL6789,Not Fraud,0,,,
105,4/20/2023,12:20,Afternoon,FTG-125-LMN-669,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",63,KA16MN0123,Fraud,1,,,
106,4/21/2023,16:55,Afternoon,FTG-106-GHI-331,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",90,KA19OP4567,Not Fraud,0,,,
107,4/22/2023,22:35,Evening,FTG-107-JKL-000,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",48,KA22QR8901,Not Fraud,0,,,
108,4/23/2023,04:15,Midnight,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",76,KA25ST2345,Not Fraud,0,,,
109,4/24/2023,08:50,Morning,FTG-109-RST-448,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",58,KA28UV6789,Fraud,1,,,
110,4/25/2023,13:30,Afternoon,FTG-110-MNO-118,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",87,KA31WX0123,Not Fraud,0,,,
111,4/26/2023,18:05,Evening,FTG-111-QWE-889,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",67,KA34YZ4567,Fraud,1,,,
112,4/27/2023,23:40,Evening,FTG-112-ZXC-455,B-102,Regular,Large,180,90,"13.059816123454882, 77.77068662374292",94,KA37AB8901,Fraud,1,,,
113,01-01-2023 00:00,08:15,Morning,FTG-113-PWI-323,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",71,KA40CD2345,Fraud,1,,,
114,01-02-2023 00:00,12:45,Afternoon,FTG-114-KJH-087,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",89,KA43EF6789,Not Fraud,0,,,
115,01-03-2023 00:00,16:30,Afternoon,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",52,KA46GH0123,Not Fraud,0,,,
116,01-04-2023 00:00,22:10,Evening,FTG-116-NBH-338,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",79,KA49IJ4567,Not Fraud,0,,,
117,01-05-2023 00:00,05:40,Midnight,FTG-117-LKI-007,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",66,KA52KL8901,Fraud,1,,,
118,01-06-2023 00:00,11:20,Morning,FTG-118-UYT-884,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",95,KA55MN2345,Not Fraud,0,,,
119,01-07-2023 00:00,14:55,Afternoon,FTG-119-FRD-338,B-102,Express,Large,180,120,"13.059816123454882, 77.77068662374292",44,KA02YZ5678,Fraud,1,,,
120,01-08-2023 00:00,18:25,Evening,FTG-120-TYU-118,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",78,KA05AB9012,Not Fraud,0,,,
121,01-09-2023 00:00,02:05,Midnight,FTG-121-BVC-989,A-101,Express,Small,120,90,"13.059816123454882, 77.77068662374292",61,KA08CD3456,Fraud,1,,,
122,01-10-2023 00:00,06:35,Morning,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",85,KA11EF6789,Not Fraud,0,,,
123,01-11-2023 00:00,10:00,Morning,FTG-123-NMK-333,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",49,KA14GH0123,Not Fraud,0,,,
124,01-12-2023 00:00,15:40,Afternoon,FTG-124-CDE-792,B-102,Regular,Medium,140,90,"13.059816123454882, 77.77068662374292",74,KA17IJ4567,Fraud,1,,,
125,1/13/2023,20:15,Evening,FTG-125-VBN-752,A-101,Express,Medium,160,120,"13.059816123454882, 77.77068662374292",69,KA20KL8901,Fraud,1,,,
126,1/14/2023,01:55,Midnight,FTG-126-PLM-410,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",92,KA23MN2345,Not Fraud,0,,,
127,1/15/2023,07:30,Morning,FTG-127-HGT-00W,C-103,Express,Large,350,140,"13.059816123454882, 77.77068662374292",57,KA26OP6789,Fraud,1,,,
128,1/16/2023,12:10,Afternoon,FTG-128-WSX-855,A-101,Regular,Small,120,120,"13.059816123454882, 77.77068662374292",83,KA29QR0123,Not Fraud,0,,,
129,1/17/2023,17:45,Afternoon,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",68,KA32ST4567,Not Fraud,0,,,
130,1/18/2023,22:20,Evening,FTG-130-LPO-013,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",96,KA35UV8901,Not Fraud,0,,,
131,1/19/2023,04:00,Midnight,FTG-131-ZAS-888,B-102,Express,Medium,140,90,"13.059816123454882, 77.77068662374292",46,KA38WX2345,Fraud,1,,,
132,1/20/2023,08:30,Morning,FTG-132-IXC-452,A-101,Regular,Medium,160,120,"13.059816123454882, 77.77068662374292",81,KA41YZ6779,Fraud,1,,,
133,1/21/2023,13:10,Afternoon,FTG-133-JOP-337,B-102,Express,Large,180,100,"13.059816123454882, 77.77068662374292",60,KA44AB0023,Fraud,1,,,
134,1/22/2023,16:45,Afternoon,FTG-134-RWV-098,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",88,KA47CD4557,Fraud,1,,,
135,1/23/2023,22:25,Evening,FTG-125-EDC-768,A-101,Express,Small,120,0,"13.059816123454882, 77.77068662374292",53,KA50EF8981,Fraud,1,,,
136,1/24/2023,02:55,Midnight,,D-104,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",77,KA53GH2335,Not Fraud,0,,,
137,1/25/2023,07:35,Morning,FTG-137-NJI-102,C-103,Express,Large,350,350,"13.059816123454882, 77.77068662374292",64,KA56IJ6779,Not Fraud,0,,,
138,1/26/2023,12:10,Afternoon,FTG-128-LKJ-872,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",91,KA59KL0113,Not Fraud,0,,,
139,1/27/2023,15:45,Afternoon,FTG-129-UTY-542,A-101,Express,Medium,160,160,"13.059816123454882, 77.77068662374292",50,KA62MN4467,Not Fraud,0,,,
140,1/28/2023,21:25,Evening,FTG-141-POU-211,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",75,KA65OP8801,Not Fraud,0,,,
141,1/29/2023,03:05,Midnight,FTG-121-ZXC-981,C-103,Express,Large,350,90,"13.059816123454882, 77.77068662374292",59,KA68QR2245,Fraud,1,,,
142,1/30/2023,07:35,Morning,FTG-122-VBN-659,A-101,Regular,Small,120,90,"13.059816123454882, 77.77068662374292",84,KA71ST6989,Fraud,1,,,
143,1/31/2023,11:10,Morning,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",66,KA74UV0113,Not Fraud,0,,,
144,02-01-2023 00:00,16:50,Afternoon,FTG-124-MKH-099,C-103,Regular,Large,350,350,"13.059816123454882, 77.77068662374292",93,KA77WX4567,Not Fraud,0,,,
145,02-02-2023 00:00,21:25,Evening,FTG-125-DCF-768,B-102,Express,Medium,140,100,"13.059816123454882, 77.77068662374292",45,KA80YZ8901,Fraud,1,,,
146,02-03-2023 00:00,03:05,Midnight,FTG-126-POI-430,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",80,KA83AB2245,Not Fraud,0,,,
147,02-04-2023 00:00,08:40,Morning,FTG-127-XCV-103,B-102,Express,Large,180,180,"13.059816123454882, 77.77068662374292",62,KA86CD6689,Not Fraud,0,,,
148,02-05-2023 00:00,13:20,Afternoon,FTG-128-JKL-871,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",86,KA89EF0223,Fraud,1,,,
149,02-06-2023 00:00,18:55,Evening,FTG-229-RFD-540,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",51,KA92GH4467,Not Fraud,0,,,
150,02-07-2023 00:00,23:30,Evening,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",73,KA95IJ8101,Not Fraud,0,,,
151,02-08-2023 00:00,05:10,Midnight,FTG-121-YUI-986,C-103,Express,Large,350,100,"13.059816123454882, 77.77068662374292",56,KA98KL2245,Fraud,1,,,
152,02-09-2023 00:00,09:40,Morning,FTG-122-BVC-653,B-102,Regular,Medium,140,140,"13.059816123454882, 77.77068662374292",82,KA01MN6889,Not Fraud,0,,,
153,02-10-2023 00:00,14:20,Afternoon,FTG-123-NBH-323,A-101,Express,Medium,160,100,"13.059816123454882, 77.77068662374292",70,KA04OP0122,Fraud,1,,,
154,02-11-2023 00:00,17:55,Afternoon,FTG-144-KJH-092,B-102,Regular,Large,180,180,"13.059816123454882, 77.77068662374292",97,KA07QR4562,Not Fraud,0,,,
155,02-12-2023 00:00,23:35,Evening,FTG-145-EDC-742,C-103,Express,Large,350,180,"13.059816123454882, 77.77068662374292",47,KA10ST8101,Fraud,1,,,
156,2/13/2023,04:05,Midnight,FTG-156-LMK-421,A-101,Regular,Small,120,180,"13.059816123454882, 77.77068662374292",84,KA13UV2145,Fraud,1,,,
157,2/14/2023,08:45,Morning,,D-105,Regular,Small,0,0,"13.059816123454882, 77.77068662374292",65,KA16WX6889,Not Fraud,0,,,
158,2/15/2023,13:20,Afternoon,FTG-158-VFR-862,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",92,KA19YZ0223,Fraud,1,,,
159,2/16/2023,16:55,Afternoon,FTG-159-WSX-441,B-102,Express,Medium,140,120,"13.059816123454882, 77.77068662374292",53,KA22AB2245,Fraud,1,,,
160,2/17/2023,22:35,Evening,FTG-160-QAZ-212,A-101,Regular,Medium,160,160,"13.059816123454882, 77.77068662374292",79,KA25CD6889,Not Fraud,0,,,
161,2/18/2023,04:15,Midnight,FTG-161-POU-998,B-102,Express,Large,180,160,"13.059816123454882, 77.77068662374292",61,KA28EF0133,Fraud,1,,,
162,2/19/2023,08:45,Morning,FTG-162-NJH-552,C-103,Regular,Large,350,180,"13.059816123454882, 77.77068662374292",89,KA31GH4467,Fraud,1,,,
163,2/20/2023,13:25,Afternoon,FTG-133-ZXC-322,A-101,Express,Small,120,120,"13.059816123454882, 77.77068662374292",44,KA34IJ8401,Not Fraud,0,,,
